id,manufacturer,anatomy,name,ap_filename,lateral_filename,templating_filename
sn-anthology,Smith & Nephew,Hip,Anthology,sn-anthology-ap.jpg,sn-anthology-lat.jpg,sn-anthology-tmpl.jpg
sn-redapt,Smith & Nephew,Hip,REDAPT Modular Revision,sn-redapt-ap.jpg,sn-redapt-lat.jpg,sn-redapt-tmpl.jpg
sn-echelon,Smith & Nephew,Hip,Echelon,sn-echelon-ap.jpg,sn-echelon-lat.jpg,sn-echelon-tmpl.jpg
sn-intertan,Smith & Nephew,Trauma / Fracture fixation,TRIGEN INTERTAN,sn-intertan-ap.jpg,sn-intertan-lat.jpg,sn-intertan-tmpl.jpg
sn-trigen,Smith & Nephew,Trauma / Fracture fixation,TRIGEN Intramedullary Nails,sn-trigen-ap.jpg,sn-trigen-lat.jpg,sn-trigen-tmpl.jpg
sn-peri-loc,Smith & Nephew,Trauma / Fracture fixation,PERI-LOC Locking Plates,sn-peri-loc-ap.jpg,sn-peri-loc-lat.jpg,sn-peri-loc-tmpl.jpg
sn-profix,Smith & Nephew,Knee,Profix,sn-profix-ap.jpg,sn-profix-lat.jpg,sn-profix-tmpl.jpg
sn-spectron,Smith & Nephew,Hip,Spectron EF,sn-spectron-ap.jpg,sn-spectron-lat.jpg,sn-spectron-tmpl.jpg
sn-emperion,Smith & Nephew,Hip,EMPERION,sn-emperion-ap.jpg,sn-emperion-lat.jpg,sn-emperion-tmpl.jpg
dp-attune,DePuy Synthes,Knee,ATTUNE,dp-attune-ap.jpg,dp-attune-lat.jpg,dp-attune-tmpl.jpg
dp-pfc-sigma,DePuy Synthes,Knee,P.F.C. Sigma,dp-pfc-sigma-ap.jpg,dp-pfc-sigma-lat.jpg,dp-pfc-sigma-tmpl.jpg
dp-lcs,DePuy Synthes,Knee,LCS (Low Contact Stress),dp-lcs-ap.jpg,dp-lcs-lat.jpg,dp-lcs-tmpl.jpg
dp-corail,DePuy Synthes,Hip,Corail,dp-corail-ap.jpg,dp-corail-lat.jpg,dp-corail-tmpl.jpg
dp-actis,DePuy Synthes,Hip,ACTIS,dp-actis-ap.jpg,dp-actis-lat.jpg,dp-actis-tmpl.jpg
dp-summit,DePuy Synthes,Hip,Summit,dp-summit-ap.jpg,dp-summit-lat.jpg,dp-summit-tmpl.jpg
dp-trilock,DePuy Synthes,Hip,Tri-Lock,dp-trilock-ap.jpg,dp-trilock-lat.jpg,dp-trilock-tmpl.jpg
dp-prodigy,DePuy Synthes,Hip,Prodigy,dp-prodigy-ap.jpg,dp-prodigy-lat.jpg,dp-prodigy-tmpl.jpg
dp-solution,DePuy Synthes,Hip,Solution System,dp-solution-ap.jpg,dp-solution-lat.jpg,dp-solution-tmpl.jpg
dp-s-rom,DePuy Synthes,Hip,S-ROM,dp-s-rom-ap.jpg,dp-s-rom-lat.jpg,dp-s-rom-tmpl.jpg
dp-pinnacle,DePuy Synthes,Hip,Pinnacle Acetabular System,dp-pinnacle-ap.jpg,dp-pinnacle-lat.jpg,dp-pinnacle-tmpl.jpg
dp-global-shoulder,DePuy Synthes,Shoulder,Global Shoulder,dp-global-shoulder-ap.jpg,dp-global-shoulder-lat.jpg,dp-global-shoulder-tmpl.jpg
dp-dhs,DePuy Synthes,Trauma / Fracture fixation,DHS (Dynamic Hip Screw),dp-dhs-ap.jpg,dp-dhs-lat.jpg,dp-dhs-tmpl.jpg
dp-pfna,DePuy Synthes,Trauma / Fracture fixation,PFNA / TFN (Proximal Femoral Nail),dp-pfna-ap.jpg,dp-pfna-lat.jpg,dp-pfna-tmpl.jpg
dp-lcp,DePuy Synthes,Trauma / Fracture fixation,LCP (Locking Compression Plate),dp-lcp-ap.jpg,dp-lcp-lat.jpg,dp-lcp-tmpl.jpg
dp-expert-nail,DePuy Synthes,Trauma / Fracture fixation,Expert Nailing System,dp-expert-nail-ap.jpg,dp-expert-nail-lat.jpg,dp-expert-nail-tmpl.jpg
dp-aml,DePuy Synthes,Hip,AML (Anatomic Medullary Locking),dp-aml-ap.jpg,dp-aml-lat.jpg,dp-aml-tmpl.jpg
